annee;diplome;numero_de_l_etablissement;etablissement;etablissementactuel;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc;id_paysage
2016;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;1;100;0;ns;ns;ns;ns;ns;ns;29;8.6;1810;ns;ns;ns;1460;2100;Caen Normandie_18;disc15_18;p25Q3
2016;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;30;70;6;87;ns;ns;ns;ns;ns;29;8.6;1810;ns;ns;29;1460;2100;Caen Normandie_18;disc16_18;p25Q3
2016;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;30;70;6;90;ns;ns;ns;ns;ns;29;8.6;1810;ns;ns;29;1460;2100;Caen Normandie_30;disc16_30;p25Q3
2016;MASTER LMD;0141408E;Caen Normandie;;A05;Caen;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;27;78;5;ns;ns;ns;ns;ns;ns;29;8.6;1810;ns;ns;ns;1460;2100;Caen Normandie_18;disc17_18;p25Q3
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;DEG;Droit, Économie et gestion;disc02;Droit;18 mois après le diplôme;;26;77;10;ns;ns;ns;ns;ns;ns;31;8.1;1725;ns;ns;ns;1380;2025;La Rochelle_18;disc02_18;atbEK
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;DEG;Droit, Économie et gestion;disc04;Gestion;30 mois après le diplôme;;42;70;17;100;95;83;98;1920;30000;31;8.1;1725;54;54;59;1380;2025;La Rochelle_30;disc04_30;atbEK
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;23;59;11;ns;ns;ns;ns;ns;ns;31;8.1;1725;ns;ns;ns;1380;2025;La Rochelle_18;disc06_18;atbEK
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;23;59;11;ns;ns;ns;ns;ns;ns;31;8.1;1725;ns;ns;ns;1380;2025;La Rochelle_30;disc06_30;atbEK
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;51;74;20;75;73;37;82;ns;ns;31;8.1;1725;48;52;72;1380;2025;La Rochelle_18;disc07_18;atbEK
2016;MASTER LMD;0171463Y;La Rochelle;;A13;Poitiers;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;17;91;6;ns;ns;ns;ns;ns;ns;31;8.1;1725;ns;ns;ns;1380;2025;La Rochelle_30;disc13_30;atbEK
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;DEG;Droit, Économie et gestion;disc02;Droit;30 mois après le diplôme;;27;49;8;ns;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_30;disc02_30;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;DEG;Droit, Économie et gestion;disc05;Autres formations juridiques, Économiques et de gestion;30 mois après le diplôme;;16;63;4;ns;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_30;disc05_30;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;98;75;19;82;81;30;74;1540;24000;38;7.5;1780;53;51;79;1430;2060;Dijon - Bourgogne_18;disc07_18;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;199;69;41;87;90;58;94;1750;27300;38;7.5;1780;59;58;42;1430;2060;Dijon - Bourgogne_18;disc12_18;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;199;69;41;89;90;77;94;1860;29000;38;7.5;1780;60;58;42;1430;2060;Dijon - Bourgogne_30;disc12_30;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;13;50;3;ns;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_30;disc15_30;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;29;78;7;93;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_18;disc16_18;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;26;63;6;ns;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_18;disc17_18;Lr94O
2016;MASTER LMD;0211237F;Dijon - Bourgogne;;A07;Dijon;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;26;63;6;ns;ns;ns;ns;ns;ns;38;7.5;1780;ns;ns;ns;1430;2060;Dijon - Bourgogne_30;disc17_30;Lr94O
2016;MASTER ENS;0251215K;Besançon - Franche-Comté;;A03;Besançon;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;102;63;100;95;94;87;85;1750;27300;23;7.5;1780;87;25;76;1430;2060;Besançon - Franche-Comté_18;disc18_18;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;8;42;3;ns;ns;ns;ns;ns;ns;37;7.5;1780;ns;ns;ns;1430;2060;Besançon - Franche-Comté_30;disc03_30;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;DEG;Droit, Économie et gestion;disc05;Autres formations juridiques, Économiques et de gestion;30 mois après le diplôme;;13;68;5;ns;ns;ns;ns;ns;ns;37;7.5;1780;ns;ns;ns;1430;2060;Besançon - Franche-Comté_30;disc05_30;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;24;87;7;ns;ns;ns;ns;ns;ns;37;7.5;1780;ns;ns;ns;1430;2060;Besançon - Franche-Comté_18;disc09_18;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;21;81;6;ns;ns;ns;ns;ns;ns;37;7.5;1780;ns;ns;ns;1430;2060;Besançon - Franche-Comté_30;disc13_30;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;11;79;3;ns;ns;ns;ns;ns;ns;37;7.5;1780;ns;ns;ns;1430;2060;Besançon - Franche-Comté_18;disc16_18;7Mpgt
2016;MASTER LMD;0251215K;Besançon - Franche-Comté;;A03;Besançon;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;46;80;13;85;82;72;92;1670;26100;37;7.5;1780;41;44;31;1430;2060;Besançon - Franche-Comté_30;disc17_30;7Mpgt
2016;MASTER LMD;0290346U;Brest - Bretagne occidentale;;A14;Rennes;DEG;Droit, Économie et gestion;disc02;Droit;30 mois après le diplôme;;49;60;15;98;81;75;96;1800;28100;41;7.2;1750;41;55;69;1405;2040;Brest - Bretagne occidentale_30;disc02_30;06SE7
2016;MASTER LMD;0290346U;Brest - Bretagne occidentale;;A14;Rennes;DEG;Droit, Économie et gestion;disc03;Économie;18 mois après le diplôme;;10;100;2;ns;ns;ns;ns;ns;ns;41;7.2;1750;ns;ns;ns;1405;2040;Brest - Bretagne occidentale_18;disc03_18;06SE7
2016;MASTER LMD;0290346U;Brest - Bretagne occidentale;;A14;Rennes;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;10;100;2;ns;ns;ns;ns;ns;ns;41;7.2;1750;ns;ns;ns;1405;2040;Brest - Bretagne occidentale_30;disc03_30;06SE7
2016;MASTER LMD;0290346U;Brest - Bretagne occidentale;;A14;Rennes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;176;83;38;90;94;76;98;1990;31100;41;7.2;1750;67;53;27;1405;2040;Brest - Bretagne occidentale_30;disc12_30;06SE7
2016;MASTER LMD;0290346U;Brest - Bretagne occidentale;;A14;Rennes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;66;86;14;80;79;37;92;1700;26500;41;7.2;1750;47;58;42;1405;2040;Brest - Bretagne occidentale_18;disc13_18;06SE7
