region;superficie;2010;2011;2012;2013;2014;2015;2016;2017;budget_esri_2019
Auvergne-Rhône-Alpes;69711;7578078;7634223;7695264;7757595;7820966;7877698;7916889;7948287;55.1
Bourgogne-Franche-Comté;47784;2813878;2816174;2816814;2819783;2820623;2820940;2818338;2811423;43.7
Bretagne;27208;3199066;3217767;3237097;3258707;3276543;3293850;3306529;3318904;23.5
Centre-Val-de-Loire;39151;2548065;2556835;2563586;2570548;2577435;2578592;2577866;2576252;37.7
Corse;8680;309693;314486;316257;320208;324212;327283;330455;334938;18.9
Grand Est;57441;5532530;5539035;5548955;5552388;5554645;5559051;5555186;5549586;60.0
Hauts-de-France;31806;5953001;5960170;5973098;5987883;6006156;6009976;6006870;6003815;70.0
Île-de-France;12011;11786234;11852851;11898502;11959807;12027565;12082144;12117132;12174880;62.7
Normandie;29907;3310448;3315077;3322756;3328364;3335645;3339131;3335929;3330478;11.5
Nouvelle-Aquitaine;84036;5745486;5773078;5808594;5844177;5879144;5911482;5935603;5956978;20.1
Occitanie;72724;5518106;5573466;5626858;5683878;5730753;5774185;5808435;5845102;84.4
Pays de la Loire;32082;3571495;3601113;3632614;3660852;3690833;3718512;3737632;3757600;18.8
Provence-Alpes-Côte d'Azur;31400;4899155;4916069;4935576;4953675;4983438;5007977;5021928;5030890;23.8
Guadeloupe;1628;403355;404635;403314;402119;400186;397990;394110;390253;3.4
Martinique;1128;394173;392291;388364;385551;383911;380877;376480;372594;2.6
Guyane;83534;229040;237549;239648;244118;252338;259865;269352;268700;
La Réunion;2504;821136;828581;833944;835103;842767;850727;852924;853659;
Mayotte;374;;;;;223713;232189;240987;250143;
